drink,Volume (ml),Calories,Caffeine (mg),type
Crystal Light Iced Tea,236.59 ,5.00 ,10.00 ,Tea
Fast Lane Black Tea,236.59 ,0.00 ,110.00 ,Tea
Guayusa Tea,236.59 ,0.00 ,41.00 ,Tea
HICAF Tea,236.59 ,0.00 ,110.00 ,Tea
K Cup Tea,236.59 ,0.00 ,41.00 ,Tea
Kombucha Tea,236.59 ,30.00 ,24.00 ,Tea
Lipton Natural Energy Tea,236.59 ,0.00 ,75.00 ,Tea
Lipton Tea,236.59 ,0.00 ,55.00 ,Tea
Matcha Tea,236.59 ,0.00 ,64.00 ,Tea
Morning Thunder Tea,236.59 ,0.00 ,45.00 ,Tea
Tazo Chai,236.59 ,0.00 ,47.00 ,Tea
Tea (Black),236.59 ,0.00 ,42.00 ,Tea
Tea (Decaf),236.59 ,0.00 ,4.00 ,Tea
Tea (Green),236.59 ,0.00 ,18.00 ,Tea
Tea (Herbal),236.59 ,0.00 ,0.00 ,Tea
Tea (Iced),236.59 ,0.00 ,47.00 ,Tea
Tea (Instant),236.59 ,0.00 ,40.00 ,Tea
Tea (Jasmine),236.59 ,0.00 ,25.00 ,Tea
Tea (Oolong),236.59 ,0.00 ,37.00 ,Tea
Tea (White),236.59 ,0.00 ,28.00 ,Tea
Teavana Tea,236.59 ,0.00 ,41.00 ,Tea
Twig Tea (Kukicha),236.59 ,0.00 ,25.00 ,Tea
Waka Instant Tea,236.59 ,0.00 ,30.00 ,Tea
Yellow Tea,236.59 ,0.00 ,63.00 ,Tea
Yerba Mate Tea,236.59 ,0.00 ,40.00 ,Tea
YMateina Yerba Mate,236.59 ,0.00 ,80.00 ,Tea
Zest Highly Caffeinated Tea,236.59 ,0.00 ,150.00 ,Tea
Oregon Chai Tea,177.44 ,130.00 ,45.00 ,Tea
Pacific Chai,177.44 ,90.00 ,29.00 ,Tea
Perrier Energize,250.19 ,35.00 ,99.00 ,Water
3 Water,499.79 ,0.00 ,50.00 ,Water
Heroec Energy Water,499.79 ,0.00 ,60.00 ,Water
Caribou BOUsted Sparkling Water,340.10 ,0.00 ,75.00 ,Water
Phocus Sparkling Water,340.10 ,0.00 ,75.00 ,Water
Poland Spring Sparkling Energy Water,340.10 ,35.00 ,75.00 ,Water
Perrier Sparkling Water,329.74 ,0.00 ,0.00 ,Water
VitaminWater Energy,591.47 ,100.00 ,50.00 ,Water
VitaRain Zero Enhanced Water,591.47 ,0.00 ,42.00 ,Water
Water Joe,591.47 ,0.00 ,70.00 ,Water
Polar Frost Plus Energy,502.75 ,10.00 ,67.00 ,Water
Hint Caffeine Kick Water,473.18 ,0.00 ,60.00 ,Water
Sparkling Ice +Caffeine,473.18 ,5.00 ,70.00 ,Water
AHA Sparkling Water,354.88 ,0.00 ,30.00 ,Water
Arti Sparkling Water,354.88 ,0.00 ,120.00 ,Water
Bubbl'r Sparkling Water,354.88 ,5.00 ,69.00 ,Water
Bubly Bounce Sparkling Water,354.88 ,0.00 ,35.00 ,Water
Bubly Sparkling Water,354.88 ,0.00 ,0.00 ,Water
GURU Sparkling Energy Water,354.88 ,0.00 ,100.00 ,Water
La Croix Sparkling Water,354.88 ,0.00 ,0.00 ,Water
Limitless Sparkling Water,354.88 ,0.00 ,35.00 ,Water
Pep Talk Sparkling Water,354.88 ,0.00 ,55.00 ,Water
Polar Seltzer Water,354.88 ,0.00 ,0.00 ,Water
Yerbae Sparkling Water,354.88 ,0.00 ,100.00 ,Water
Tonic Water,295.74 ,110.00 ,0.00 ,Water
MiO Energy Water Enhancer,236.59 ,0.00 ,60.00 ,Water
